state_0,state_1,state_2,state_3,state_4,state_5,state_6,actions,rewards,dones
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
1.0,150000.0,0.0,60000.0,0.0,0.0,1500.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,1500.0,1500.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,3000.0,1500.0,0,60000,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
1.0,150000.0,0.0,60000.0,0.0,4500.0,1500.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,6000.0,1500.0,0,60000,0
0.0,150000.0,0.0,0.0,0.0,1500.0,1500.0,0,0,0
1.0,150000.0,0.0,60000.0,0.0,7500.0,1500.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,9000.0,1500.0,0,60000,0
0.0,150000.0,0.0,0.0,0.0,3000.0,1500.0,0,0,0
1.0,150000.0,0.0,60000.0,0.0,10500.0,1500.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,12000.0,1500.0,0,60000,0
0.0,150000.0,0.0,0.0,0.0,4500.0,1500.0,0,0,0
1.0,150000.0,0.0,60000.0,0.0,13500.0,1500.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,15000.0,1500.0,0,60000,0
0.0,150000.0,0.0,0.0,0.0,6000.0,1500.0,0,0,0
1.0,150000.0,0.0,60000.0,0.0,16500.0,1500.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,18000.0,1500.0,0,60000,0
0.0,150000.0,0.0,0.0,0.0,7500.0,1500.0,0,0,0
1.0,150000.0,0.0,60000.0,0.0,19500.0,291.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,19791.0,1500.0,0,60000,0
0.0,150000.0,0.0,0.0,0.0,9000.0,1500.0,0,0,0
