state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,actions,rewards,dones
0.0,0.0,643737150.0,190000.0,6909310000.0,0.0,85592.0,11.0,0,190000,0
0.0,0.0,643737150.0,190000.0,7553047600.0,0.0,85656.0,11.0,0,190000,0
0.0,0.0,643737150.0,190000.0,0.0,0.0,85720.0,11.0,1,190000,0
0.0,0.0,556495600.0,190000.0,5564956700.0,0.0,75720.0,12.0,0,190000,0
0.0,0.0,556495600.0,190000.0,6121452000.0,0.0,75772.0,12.0,0,190000,0
0.0,0.0,556495600.0,190000.0,6677948000.0,0.0,75836.0,12.0,0,190000,0
0.0,0.0,556495600.0,190000.0,7234443300.0,0.0,75900.0,12.0,0,190000,0
0.0,0.0,556495600.0,190000.0,7790939000.0,0.0,75964.0,12.0,0,190000,0
0.0,0.0,556495600.0,190000.0,6121452000.0,0.0,75772.0,12.0,0,190000,0
0.0,0.0,556495600.0,190000.0,6677948000.0,0.0,75836.0,12.0,0,190000,0
0.0,0.0,556495600.0,190000.0,7234443300.0,0.0,75900.0,12.0,0,190000,0
0.0,0.0,556495600.0,190000.0,7790939000.0,0.0,75964.0,12.0,0,190000,0
0.0,0.0,556495600.0,190000.0,0.0,0.0,76028.0,12.0,1,190000,0
0.0,0.0,642395000.0,230000.0,9891772000.0,0.0,37636.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,10534168000.0,0.0,37688.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,11176563000.0,0.0,37740.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,11818958000.0,0.0,37792.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,12461353000.0,0.0,37844.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,10534168000.0,0.0,37688.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,11176563000.0,0.0,37740.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,11818958000.0,0.0,37792.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,12461353000.0,0.0,37844.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,0.0,0.0,37896.0,13.0,1,230000,0
0.0,0.0,642395000.0,230000.0,11818958000.0,0.0,37792.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,12461353000.0,0.0,37844.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,0.0,0.0,37896.0,13.0,1,230000,0
0.0,0.0,642395000.0,230000.0,642395000.0,0.0,37896.0,14.0,0,230000,0
0.0,0.0,642395000.0,230000.0,1284790000.0,0.0,39396.0,14.0,0,230000,0
0.0,0.0,642395000.0,230000.0,12461353000.0,0.0,37844.0,13.0,0,230000,0
0.0,0.0,642395000.0,230000.0,0.0,0.0,37896.0,13.0,1,230000,0
0.0,0.0,642395000.0,230000.0,642395000.0,0.0,37896.0,14.0,0,230000,0
0.0,0.0,642395000.0,230000.0,1284790000.0,0.0,39396.0,14.0,0,230000,0
0.0,0.0,642395000.0,230000.0,0.0,0.0,40896.0,14.0,1,230000,0
0.0,0.0,685344640.0,230000.0,11436111000.0,0.0,37576.0,15.0,0,230000,0
0.0,0.0,685344640.0,230000.0,12121456000.0,0.0,39076.0,15.0,0,230000,0
0.0,0.0,685344640.0,230000.0,12806800000.0,0.0,40576.0,15.0,0,230000,0
0.0,0.0,685344640.0,230000.0,13492145000.0,0.0,42076.0,15.0,0,230000,0
0.0,0.0,685344640.0,230000.0,14177490000.0,0.0,43576.0,15.0,0,230000,0
0.0,0.0,685344640.0,230000.0,12121456000.0,0.0,39076.0,15.0,0,230000,0
